,a,b,c,d,e,f,X,Y,Sum_Total,Sum_ml,slots_usage
369,0,12,12,9,0,3,1344,528,36,1872,4
370,0,12,12,9,0,12,1488,528,45,2016,4
371,0,12,12,10,0,3,1488,528,37,2016,4
372,0,12,12,10,0,12,1632,528,46,2160,4
373,0,12,12,11,0,3,1632,528,38,2160,4
374,0,12,12,11,0,12,1776,528,47,2304,4
375,0,12,12,12,0,3,1776,528,39,2304,4
376,0,12,12,12,0,12,1920,528,48,2448,4
377,0,12,12,13,0,3,1920,528,40,2448,4
378,0,12,12,13,0,12,2064,528,49,2592,4
379,0,12,12,14,0,3,2064,528,41,2592,4
380,0,13,1,6,0,10,1024,416,30,1440,4
381,0,13,1,7,0,1,1024,416,22,1440,4
382,0,13,1,7,0,10,1168,416,31,1584,4
383,0,13,1,8,0,1,1168,416,23,1584,4
384,0,13,1,8,0,10,1312,416,32,1728,4
385,0,13,1,9,0,1,1312,416,24,1728,4
386,0,13,1,9,0,10,1456,416,33,1872,4
387,0,13,1,10,0,1,1456,416,25,1872,4
388,0,13,1,10,0,10,1600,416,34,2016,4
389,0,13,1,11,0,1,1600,416,26,2016,4
390,0,13,5,0,31,0,1116,468,49,1584,4
391,0,13,5,4,15,0,1116,468,37,1584,4
392,0,13,5,5,11,0,1116,468,34,1584,4
393,0,13,5,5,15,0,1260,468,38,1728,4
394,0,13,5,6,7,0,1116,468,31,1584,4
395,0,13,5,6,11,0,1260,468,35,1728,4
396,0,13,5,6,15,0,1404,468,39,1872,4
397,0,13,5,7,3,0,1116,468,28,1584,4
398,0,13,5,7,7,0,1260,468,32,1728,4
399,0,13,5,7,11,0,1404,468,36,1872,4
400,0,13,5,7,15,0,1548,468,40,2016,4
401,0,13,5,8,3,0,1260,468,29,1728,4
402,0,13,5,8,7,0,1404,468,33,1872,4
403,0,13,5,8,11,0,1548,468,37,2016,4
404,0,13,5,8,15,0,1692,468,41,2160,4
405,0,13,5,9,3,0,1404,468,30,1872,4
406,0,13,5,9,7,0,1548,468,34,2016,4
407,0,13,5,9,11,0,1692,468,38,2160,4
408,0,13,5,9,15,0,1836,468,42,2304,4
409,0,13,5,10,3,0,1548,468,31,2016,4
410,0,13,5,10,7,0,1692,468,35,2160,4
411,0,13,5,10,11,0,1836,468,39,2304,4
412,0,13,5,11,3,0,1692,468,32,2160,4
413,0,13,5,11,7,0,1836,468,36,2304,4
414,0,13,5,12,3,0,1836,468,33,2304,4
415,0,14,6,7,0,13,1216,512,40,1728,4
416,0,14,6,8,0,4,1216,512,32,1728,4
417,0,14,6,8,0,13,1360,512,41,1872,4
418,0,14,6,9,0,4,1360,512,33,1872,4
419,0,14,6,9,0,13,1504,512,42,2016,4
420,0,14,6,10,0,4,1504,512,34,2016,4
421,0,14,6,10,0,13,1648,512,43,2160,4
422,0,14,6,11,0,4,1648,512,35,2160,4
423,0,14,6,11,0,13,1792,512,44,2304,4
424,0,14,6,12,0,4,1792,512,36,2304,4
425,0,14,6,12,0,13,1936,512,45,2448,4
426,0,14,6,13,0,4,1936,512,37,2448,4
427,0,14,22,12,0,0,1728,720,48,2448,4
428,0,14,22,13,0,0,1872,720,49,2592,4
429,0,14,22,14,0,0,2016,720,50,2736,4
430,0,14,22,15,0,0,2160,720,51,2880,4
431,0,14,22,16,0,0,2304,720,52,3024,4
432,0,15,3,5,14,0,1224,504,37,1728,4
433,0,15,3,6,10,0,1224,504,34,1728,4
434,0,15,3,6,14,0,1368,504,38,1872,4
435,0,15,3,7,6,0,1224,504,31,1728,4
436,0,15,3,7,10,0,1368,504,35,1872,4
437,0,15,3,7,14,0,1512,504,39,2016,4
438,0,15,3,8,2,0,1224,504,28,1728,4
439,0,15,3,8,6,0,1368,504,32,1872,4
440,0,15,3,8,10,0,1512,504,36,2016,4
441,0,15,3,8,14,0,1656,504,40,2160,4
442,0,15,3,9,2,0,1368,504,29,1872,4
443,0,15,3,9,6,0,1512,504,33,2016,4
444,0,15,3,9,10,0,1656,504,37,2160,4
445,0,15,3,9,14,0,1800,504,41,2304,4
446,0,15,3,10,2,0,1512,504,30,2016,4
447,0,15,3,10,6,0,1656,504,34,2160,4
448,0,15,3,10,10,0,1800,504,38,2304,4
449,0,15,3,10,14,0,1944,504,42,2448,4
450,0,15,3,11,2,0,1656,504,31,2160,4
451,0,15,3,11,6,0,1800,504,35,2304,4
452,0,15,3,11,10,0,1944,504,39,2448,4
453,0,15,3,12,2,0,1800,504,32,2304,4
454,0,15,3,12,6,0,1944,504,36,2448,4
455,0,15,3,13,2,0,1944,504,33,2448,4
456,0,15,11,9,0,16,1552,608,51,2160,4
457,0,15,11,10,0,7,1552,608,43,2160,4
458,0,15,11,10,0,16,1696,608,52,2304,4
459,0,15,11,11,0,7,1696,608,44,2304,4
460,0,15,11,11,0,16,1840,608,53,2448,4
461,0,15,11,12,0,7,1840,608,45,2448,4
462,0,15,11,12,0,16,1984,608,54,2592,4
463,0,15,11,13,0,7,1984,608,46,2592,4
464,0,15,11,13,0,16,2128,608,55,2736,4
465,0,15,11,14,0,7,2128,608,47,2736,4
466,0,15,11,14,0,16,2272,608,56,2880,4
467,0,15,11,15,0,7,2272,608,48,2880,4
468,0,15,11,15,0,16,2416,608,57,3024,4
469,0,15,11,16,0,7,2416,608,49,3024,4
470,0,16,0,0,28,14,1232,496,58,1728,4
471,0,16,0,0,32,5,1232,496,53,1728,4
472,0,16,0,0,32,14,1376,496,62,1872,4
473,0,16,0,3,16,14,1232,496,49,1728,4
474,0,16,0,4,12,14,1232,496,46,1728,4
475,0,16,0,4,16,5,1232,496,41,1728,4
476,0,16,0,4,16,14,1376,496,50,1872,4
477,0,16,0,5,0,32,1232,496,53,1728,4
478,0,16,0,5,8,14,1232,496,43,1728,4
479,0,16,0,5,12,5,1232,496,38,1728,4
480,0,16,0,5,12,14,1376,496,47,1872,4
481,0,16,0,5,16,5,1376,496,42,1872,4
482,0,16,0,5,16,14,1520,496,51,2016,4
483,0,16,0,6,0,23,1232,496,45,1728,4
484,0,16,0,6,0,32,1376,496,54,1872,4
485,0,16,0,6,4,14,1232,496,40,1728,4
486,0,16,0,6,8,5,1232,496,35,1728,4
487,0,16,0,6,8,14,1376,496,44,1872,4
488,0,16,0,6,12,5,1376,496,39,1872,4
489,0,16,0,6,12,14,1520,496,48,2016,4
490,0,16,0,6,16,5,1520,496,43,2016,4
491,0,16,0,6,16,14,1664,496,52,2160,4
492,0,16,0,7,0,14,1232,496,37,1728,3
493,0,16,0,7,0,23,1376,496,46,1872,4
494,0,16,0,7,0,32,1520,496,55,2016,4
495,0,16,0,7,4,5,1232,496,32,1728,4
496,0,16,0,7,4,14,1376,496,41,1872,4
497,0,16,0,7,8,5,1376,496,36,1872,4
498,0,16,0,7,8,14,1520,496,45,2016,4
499,0,16,0,7,12,5,1520,496,40,2016,4
500,0,16,0,7,12,14,1664,496,49,2160,4
501,0,16,0,7,16,5,1664,496,44,2160,4
502,0,16,0,7,16,14,1808,496,53,2304,4
503,0,16,0,8,0,5,1232,496,29,1728,3
504,0,16,0,8,0,14,1376,496,38,1872,3
505,0,16,0,8,0,23,1520,496,47,2016,4
506,0,16,0,8,0,32,1664,496,56,2160,4
507,0,16,0,8,4,5,1376,496,33,1872,4
508,0,16,0,8,4,14,1520,496,42,2016,4
509,0,16,0,8,8,5,1520,496,37,2016,4
510,0,16,0,8,8,14,1664,496,46,2160,4
511,0,16,0,8,12,5,1664,496,41,2160,4
512,0,16,0,8,12,14,1808,496,50,2304,4
513,0,16,0,8,16,5,1808,496,45,2304,4
514,0,16,0,8,16,14,1952,496,54,2448,4
515,0,16,0,9,0,5,1376,496,30,1872,3
516,0,16,0,9,0,14,1520,496,39,2016,3
517,0,16,0,9,0,23,1664,496,48,2160,4
518,0,16,0,9,0,32,1808,496,57,2304,4
519,0,16,0,9,4,5,1520,496,34,2016,4
520,0,16,0,9,4,14,1664,496,43,2160,4
521,0,16,0,9,8,5,1664,496,38,2160,4
522,0,16,0,9,8,14,1808,496,47,2304,4
523,0,16,0,9,12,5,1808,496,42,2304,4
524,0,16,0,9,12,14,1952,496,51,2448,4
525,0,16,0,9,16,5,1952,496,46,2448,4
526,0,16,0,10,0,5,1520,496,31,2016,3
527,0,16,0,10,0,14,1664,496,40,2160,3
528,0,16,0,10,0,23,1808,496,49,2304,4
529,0,16,0,10,0,32,1952,496,58,2448,4
530,0,16,0,10,4,5,1664,496,35,2160,4
531,0,16,0,10,4,14,1808,496,44,2304,4
532,0,16,0,10,8,5,1808,496,39,2304,4
533,0,16,0,10,8,14,1952,496,48,2448,4
534,0,16,0,10,12,5,1952,496,43,2448,4
535,0,16,0,11,0,5,1664,496,32,2160,3
536,0,16,0,11,0,14,1808,496,41,2304,3
537,0,16,0,11,0,23,1952,496,50,2448,4
538,0,16,0,11,4,5,1808,496,36,2304,4
539,0,16,0,11,4,14,1952,496,45,2448,4
540,0,16,0,11,8,5,1952,496,40,2448,4
541,0,16,0,12,0,5,1808,496,33,2304,3
542,0,16,0,12,0,14,1952,496,42,2448,3
543,0,16,0,12,4,5,1952,496,37,2448,4
544,0,16,0,13,0,5,1952,496,34,2448,3
